website,name,link,salary_min,salary_max,salary_currency,employer,address
hh.ru,Преподаватель Python,https://spb.hh.ru/vacancy/54969732,,,,ООО Компьютерная Академия IT STEP,Ташкент
hh.ru,Python-разработчик Wizard,https://spb.hh.ru/vacancy/42202109,,,,Тинькофф,Челябинск
hh.ru,Python Developer,https://spb.hh.ru/vacancy/55128504,,,,Admitad,"Москва, Дмитровская"
hh.ru,Data Analyst/Data Scientist,https://spb.hh.ru/vacancy/54718893,,,,ООО Лайфтех,Минск
hh.ru,Python developer,https://spb.hh.ru/vacancy/55293015,,,,Star-Staff,Москва
hh.ru,Программист разработчик SQL (SQL Developer),https://spb.hh.ru/vacancy/55573550,90000.0,150000.0,руб,ООО Управляющая компания Яр-Групп,"Самара, Гагаринская"
hh.ru,Data Analyst,https://spb.hh.ru/vacancy/66116961,,,,Playgendary,Акташ (Узбекистан)
hh.ru,Junior+ CV/ML developer,https://spb.hh.ru/vacancy/50533416,,,,Технологика,Новосибирск
hh.ru,Data Analyst,https://spb.hh.ru/vacancy/66076769,,,,Muse Group,Москва
hh.ru,Data Analyst,https://spb.hh.ru/vacancy/55186090,120000.0,,руб,html academy,"Санкт-Петербург, Петроградская"
hh.ru,Программист Python,https://spb.hh.ru/vacancy/55862173,,150000.0,руб,ООО КонсалтПро,Томск
hh.ru,Разработчик отдела интеграции (python),https://spb.hh.ru/vacancy/66071239,,,,Группа компаний Астра,Москва
hh.ru,Разработчик информационных систем на Oracle/django (Москва),https://spb.hh.ru/vacancy/66076649,150000.0,,руб,АНО ВО МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ,"Москва, Белорусская"
hh.ru,Младший QA/Специалист по тестированию,https://spb.hh.ru/vacancy/55869696,,,,Ростелеком-Солар,"Москва, Охотный ряд"
hh.ru,Data Engineer,https://spb.hh.ru/vacancy/66120814,,280000.0,руб,Outlines Technologies,Москва
hh.ru,Python developer (Middle/Senior),https://spb.hh.ru/vacancy/52108971,,,,Digital Security,Санкт-Петербург
hh.ru,Data Scientist (Billing),https://spb.hh.ru/vacancy/66090873,,,,Space307,"Санкт-Петербург, Горьковская и еще 1 "
hh.ru,Аналитик в разработку отчетности,https://spb.hh.ru/vacancy/54374273,,,,Тинькофф,"Москва, Водный стадион"
hh.ru,Middle/Senior Python разработчик,https://spb.hh.ru/vacancy/55038417,,,,Московский Кредитный Банк. ИТ-специалисты,Москва
hh.ru,Веб-аналитик,https://spb.hh.ru/vacancy/55217071,,,,Леруа Мерлен. Гипермаркеты,Москва
hh.ru,Python developer (Middle/Middle+),https://spb.hh.ru/vacancy/55878523,,,,ООО Финтех Айкью,Новосибирск
hh.ru,Программист-математик,https://spb.hh.ru/vacancy/54285695,,,,ПАО «Газпром нефть»,Санкт-Петербург
hh.ru,Python BackEnd Developer,https://spb.hh.ru/vacancy/49299511,,,,ООО Звук,"Москва, Кутузовская и еще 3 "
hh.ru,Инженер по тестированию ПО/QA engineer,https://spb.hh.ru/vacancy/55557312,,150000.0,руб,ООО RC Studio,Санкт-Петербург
hh.ru,Программист Go/Python (Cybsi),https://spb.hh.ru/vacancy/55873465,,,,Positive Technologies,Москва
hh.ru,Senior Python Developer,https://spb.hh.ru/vacancy/54330686,,,,DINS,Санкт-Петербург
hh.ru,Python (Django) Developer HR платформа,https://spb.hh.ru/vacancy/55150260,,,,Группа Самолет,Москва
hh.ru,DevOps инженер,https://spb.hh.ru/vacancy/55581168,100000.0,,руб,idaproject,Москва
hh.ru,Разработчик Python (Django),https://spb.hh.ru/vacancy/55866790,,,,АО АСТ,"Москва, Волгоградский проспект"
hh.ru,Senior Python developer,https://spb.hh.ru/vacancy/55873396,2500.0,4000.0,USD,ООО Доксинбокс,Санкт-Петербург
hh.ru,Middle/Senior Python-разработчик в команду Добычи данных,https://spb.hh.ru/vacancy/66066364,,,,2ГИС,Новосибирск
hh.ru,Python Backend Developer,https://spb.hh.ru/vacancy/55905627,,,,Международная медиагруппа Россия сегодня (МИА Россия сегодня),Москва
